pixel_index,raman_shift_cm-1,intensity
731,1729.794,0.3262339248051972
732,1732.115,0.3452772873752816
733,1734.436,0.32303458023168324
734,1736.755,0.2886490499587649
735,1739.074,0.2566923202405197
736,1741.392,0.18749719629104106
737,1743.709,0.16525527761411504
738,1746.025,0.1308705388631189
739,1748.341,0.18715387534289138
740,1750.655,0.2329134622482426
741,1752.969,0.22888687189830698
742,1755.282,0.15281190324455932
743,1757.594,0.14676187969915844
744,1759.905,0.1301881086836539
745,1762.215,0.1358767420621073
746,1764.525,0.12294628274293504
747,1766.833,0.2083744812664656
748,1769.141,0.27882649344846566
749,1771.448,0.35939789225314833
750,1773.754,0.3869449788257703
751,1776.059,0.38251565302804735
752,1778.363,0.34975282070439356
753,1780.667,0.35827645783739687
754,1782.969,0.3093233428476055
755,1785.271,0.3162283202166166
756,1787.572,0.26970421843200004
757,1789.872,0.2871335549039769
758,1792.171,0.25558625231535875
759,1794.469,0.19084823525310576
760,1796.767,0.16658715240581853
761,1799.063,0.1605408019071943
762,1801.359,0.16501860470721313
763,1803.654,0.16949661059759083
764,1805.948,0.1780224921857552
765,1808.241,0.18007229917021833
766,1810.534,0.16107440818519195
767,1812.825,0.2303159901460346
768,1815.116,0.22993779678068932
769,1817.406,0.19960702301198754
770,1819.695,0.14013320274880056
771,1821.983,0.2198995327665211
772,1824.270,0.2628322360221321
773,1826.557,0.22157353737277566
774,1828.843,0.22767280898961775
775,1831.127,0.19289077815647235
776,1833.411,0.18684741978080258
777,1835.694,0.21723331155567902
778,1837.977,0.27635787365809766
779,1840.258,0.27233892745510657
780,1842.539,0.20517647175476375
781,1844.818,0.25499195458233653
782,1847.097,0.24287822727966132
783,1849.375,0.17571633262939135
784,1851.652,0.17453169244903552
785,1853.929,0.15918037954534336
786,1856.204,0.057209045405150455
787,1858.479,0.07383471044699837
788,1860.753,0.11029415143915873
789,1863.026,0.12975354226055097
790,1865.298,0.19697564946970378
791,1867.569,0.2131972496732878
792,1869.840,0.22294274423489294
793,1872.110,0.22216445825614903
794,1874.378,0.2833157368100806
795,1876.646,0.27079953182674554
796,1878.914,0.1951397911040711
797,1881.180,0.1810048414711358
798,1883.445,0.19925143504461337
799,1885.710,0.2713322366006215
800,1887.974,0.2774361225558416
801,1890.237,0.20299146771897217
802,1892.499,0.2005955424546743
803,1894.760,0.28077229416386473
804,1897.021,0.30144839743852747
805,1899.280,0.2666715227359504
806,1901.539,0.2237994417397859
807,1903.797,0.20561830321280342
808,1906.054,0.2635335517382194
809,1908.311,0.2554718616144678
810,1910.566,0.15917102839160763
811,1912.821,0.13896657365599238
812,1915.075,0.20254907316549411
813,1917.328,0.2697745981428082
814,1919.580,0.2779042137241866
815,1921.831,0.22693791675257532
816,1924.082,0.2087578815016747
817,1926.331,0.2379357275537695
818,1928.580,0.21975590296301248
819,1930.828,0.18336165004988803
820,1933.075,0.11418134248595095
821,1935.322,0.10409715423425751
822,1937.567,0.15310908170285192
823,1939.812,0.19159714533946798
824,1942.056,0.23413296428750058
825,1944.299,0.20704888585002187
826,1946.541,0.22732265637939472
827,1948.783,0.26581102624012976
828,1951.023,0.2779895882664182
829,1953.263,0.26385833841744377
830,1955.502,0.20884564972495542
831,1957.740,0.18257149391436883
832,1959.977,0.2218696912053812
833,1962.214,0.20976248709531478
834,1964.449,0.21222694739569062
835,1966.684,0.19647691622995667
836,1968.918,0.15198843924957284
837,1971.152,0.15242916079795746
838,1973.384,0.1504413019346152
839,1975.615,0.15290590208264218
840,1977.846,0.12703680502777637
841,1980.076,0.07000063481515759
842,1982.305,0.10282280974970463
843,1984.533,0.08990627877245519
844,1986.761,0.12596658543785602
845,1988.988,0.17012222715227454
846,1991.213,0.21063494697660062
847,1993.438,0.2329331167895295
848,1995.663,0.25927893285652226
849,1997.886,0.28967238977737986
850,2000.108,0.23587421030445704
851,2002.330,0.18855226448219614
852,2004.551,0.21327884957643395
853,2006.771,0.196719115417862
854,2008.991,0.23763627787001548
855,2011.209,0.2886725568006009
856,2013.427,0.3316134177289975
857,2015.644,0.2676956330579582
858,2017.860,0.2612547212395428
859,2020.075,0.28598080153887173
860,2022.289,0.2576822690002961
861,2024.503,0.25002676626760095
862,2026.716,0.23791871428880407
863,2028.928,0.25050135236867777
864,2031.139,0.2549885225728142
865,2033.349,0.22628464562438594
866,2035.559,0.21174748918017736
867,2037.767,0.1996387947690281
868,2039.975,0.22679238005092897
869,2042.182,0.2575887156003649
870,2044.389,0.2515510642944386
871,2046.594,0.22325104196818152
872,2048.799,0.19495084311220828
873,2051.003,0.18891266213962155
874,2053.206,0.153731044471413
875,2055.408,0.1764309526411235
876,2057.609,0.18051135920622027
877,2059.810,0.25421152844840444
878,2062.010,0.2291482552755253
879,2064.209,0.280585773682428
880,2066.407,0.2624030800132166
881,2068.605,0.19686236805063312
882,2070.801,0.17867917850647397
883,2072.997,0.15644805608872883
884,2075.192,0.1815744400633967
885,2077.386,0.1961765981492571
886,2079.580,0.16746837069094558
887,2081.772,0.1942129710128702
888,2083.964,0.17764716911487852
889,2086.155,0.2165341781575204
890,2088.345,0.17527694351905954
891,2090.535,0.14859100517777815
892,2092.723,0.1915247074597875
893,2094.911,0.20531481995172968
