pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
124,144.37434882166693,2983.694350165485,2437.305649834515
125,147.30435270360678,2997.993326963663,2474.006673036337
126,150.23320744021913,3005.4065816414204,2510.5934183585796
127,153.16091358619914,3018.9338795401527,2547.0661204598473
128,156.08747169591027,2892.5749854750156,2583.4250145249844
129,159.01288232336677,2962.3296637382728,2619.6703362617272
130,161.93714602225333,2877.1976781026488,2655.8023218973512
131,164.86026334590775,2792.17879182468,2691.82120817532
132,167.782234847336,2784.2727676480617,2727.7272323519383
133,170.703061079195,2848.479367807,2763.520632193
134,173.62274259380547,2785.7983540295645,2799.2016459704355
135,176.54127994315428,2702.229487541036,2834.770512458964
136,179.45867367888565,2792.772529067257,2870.227470932743
137,182.37492435230772,2804.4272388379786,2905.5727611620214
138,185.29003251439033,2728.193376590224,2940.806623409776
139,188.20399871576078,2698.07070157162,2975.92929842838
140,191.11682350671884,2732.0589725437603,3010.9410274562397
141,194.02850743721743,2631.157947785555,3045.842052214445
142,196.93905105687978,2648.367385096575,3080.632614903425
143,199.8484549149888,2650.6870418004055,3115.3129581995945
144,202.75671956049334,2571.1166747479983,3149.8833252520017
145,205.6638455420019,2558.656040321018,3184.343959678982
146,208.5698334077955,2590.3048944351967,3218.6951055648033
147,211.4746837058039,2637.0629925436833,3252.9370074563167
148,214.37839698364678,2686.9300896403884,3287.0699103596116
149,217.28097378858388,2511.90594026334,3321.09405973666
150,220.1824146675496,2588.990298498037,3355.009701501963
151,223.0827201671489,2499.182917980791,3388.817082019209
152,225.98189083364827,2440.48355190208,3422.51644809792
153,228.87992721298258,2399.8919530099047,3456.1080469900953
154,231.77682985073972,2498.4078736131305,3489.5921263868695
155,234.67259929219532,2350.0310655848407,3522.9689344151593
156,237.56723608227585,2404.7612803656875,3556.2387196343125
157,240.4607407655826,2284.598268967243,3589.401731032757
158,243.35311388638726,2433.5417819753484,3622.4582180246516
159,246.24435598861453,2331.591569553464,3655.408430446536
160,249.13446761587682,2325.74738144602,3688.25261855398
161,252.02344931143102,2270.0089669817653,3720.9910330182347
162,254.91130161822824,2277.3760750771244,3753.6239249228756
163,257.7980250788683,2307.8484542395363,3786.1515457604637
164,260.68362023562787,2281.4258525708156,3818.5741474291844
165,263.568087630452,2222.108017770497,3850.891982229503
166,266.45142780495814,2251.894697139188,3883.105302860812
167,269.3336413004256,2214.7856375819156,3915.2143624180844
168,272.2147286578062,2160.780585611483,3947.219414388517
169,275.0946904177352,2043.8792873518114,3979.1207126481886
170,277.97352712049866,2110.081488541303,4010.918511458697
171,280.85123930606403,2124.3869345361736,4042.6130654638264
172,283.7278275140626,2013.7953703138219,4074.204629686178
173,286.60329228380897,1927.3065404761646,4105.693459523835
174,289.4776341542732,2030.9201892529936,4137.079810747006
175,292.35085366411056,1976.6360605053305,4168.3639394946695
176,295.2229513516428,1935.4538977287657,4199.546102271234
