System,,,
Type,MANTARAY,,
Unit,WAVENUMBER,,
Rayleigh,532.021nm,,
Grating,1200gr,,
,,,
Measuring Condition,,,
Acquisition Mode,SINGLE,,
Exposure Time,0.2s,,
Laser Filter,532nm,,
ND Filter,20%,,
Lens Magnification,MPLFLN20x,,
X Pixels,1024,Y Pixels,255
,,,
,,,
X Axis Data,Y Axis Data,,
1856.74,363,,
1859.05,361,,
1861.36,363,,
1863.68,351,,
1865.99,358,,
1868.3,354,,
1870.61,354,,
1872.92,362,,
1875.23,358,,
1877.54,360,,
1879.85,350,,
1882.16,354,,
1884.47,356,,
1886.77,349,,
1889.08,351,,
1891.38,355,,
1893.69,355,,
1895.99,353,,
1898.29,363,,
1900.6,361,,
1902.9,357,,
1905.2,363,,
1907.5,368,,
1909.8,360,,
1912.09,363,,
1914.39,363,,
1916.69,367,,
1918.99,364,,
1921.28,367,,
1923.58,366,,
1925.87,360,,
1928.16,368,,
1930.46,361,,
1932.75,368,,
1935.04,368,,
1937.33,369,,
1939.62,366,,
1941.91,370,,
1944.2,359,,
1946.49,374,,
1948.77,373,,
1951.06,370,,
1953.35,375,,
1955.63,375,,
1957.91,379,,
1960.2,374,,
1962.48,372,,
1964.76,373,,
1967.04,370,,
1969.33,372,,
1971.61,376,,
1973.88,381,,
1976.16,373,,
1978.44,378,,
1980.72,374,,
1983,374,,
1985.27,381,,
1987.55,382,,
1989.82,381,,
1992.09,374,,
1994.37,374,,
1996.64,375,,
1998.91,380,,
2001.18,378,,
2003.45,375,,
2005.72,375,,
2007.99,383,,
2010.26,379,,
2012.53,381,,
2014.79,386,,
2017.06,381,,
2019.32,387,,
2021.59,383,,
2023.85,381,,
2026.12,372,,
2028.38,386,,
2030.64,379,,
2032.9,375,,
2035.16,377,,
2037.42,379,,
2039.68,381,,
2041.94,381,,
2044.2,379,,
2046.45,380,,
2048.71,392,,
2050.97,387,,
2053.22,385,,
2055.47,379,,
2057.73,384,,
2059.98,390,,
2062.23,384,,
2064.48,381,,
2066.74,393,,
2068.99,393,,
2071.23,389,,
2073.48,384,,
2075.73,386,,
2077.98,394,,
2080.22,388,,
2082.47,396,,
2084.72,383,,
2086.96,386,,
2089.2,382,,
2091.45,392,,
2093.69,386,,
2095.93,393,,
2098.17,391,,
2100.41,392,,
2102.65,391,,
2104.89,386,,
2107.13,389,,
2109.37,393,,
2111.6,390,,
2113.84,395,,
2116.08,399,,
2118.31,400,,
2120.54,388,,
2122.78,384,,
2125.01,392,,
2127.24,386,,
2129.47,389,,
2131.7,391,,
2133.93,394,,
